0,-0.0286213,0.0111302
1,-0.0442144,0.0302016
2,-0.0539322,0.0468991
3,-0.0901795,0.0631948
4,-0.114911,0.0833724
5,-0.108753,0.0896149
6,-0.168467,0.0993949
7,-0.240827,0.0961432
8,-0.259066,0.0663332
9,-0.265481,0.0251994
10,-0.215373,-0.0301905
11,-0.191333,-0.0395042
12,-0.215102,-0.0460446
13,-0.192746,-0.0565369
14,-0.218237,-0.127081
15,-0.13131,-0.162372
16,4.97436e-05,-0.000242104
17,0.133046,-0.1641
18,0.221627,-0.13006
19,0.192873,-0.0565766
20,0.213324,-0.0445601
21,0.176803,-0.0326307
22,0.180891,-0.0153491
23,0.216591,0.045595
24,0.209344,0.0864293
25,0.197825,0.114678
26,0.14433,0.114274
27,0.0983254,0.0993702
28,0.101305,0.0931952
29,0.0804323,0.0705284
30,0.0476855,0.05102
31,0.0428846,0.0310478
32,0.0285927,0.0111039
45,0.00383699,0.00893412
46,0.00846598,0.00806863
47,-0.154005,-0.0192637
48,-0.0794842,0.0147147
50,0.0795073,0.0147147
51,0.154092,-0.0192704
80,-0.264747,0.0124368
81,0.264701,0.0124352
82,-0.281083,0.00648107
83,0.281049,0.00647697
84,-0.185882,-0.0337115
85,-0.119752,-2.99185e-05
86,-0.020169,-0.00242053
87,0.000112187,-0.000471521
88,0.020172,-0.00247726
89,0.119729,-3.08162e-05
90,0.185846,-0.0336988
91,0.155084,-0.0128399
92,0.047723,-0.0342208
93,-2.26003e-05,-0.0382965
94,-0.0476861,-0.0342522
95,-0.155112,-0.0128177
96,-0.188475,-0.0229654
97,-0.0840605,-0.0369972
98,0.000155715,-0.0067112
99,0.0840524,-0.0370127
100,0.188445,-0.0229761
101,0.0918851,-0.0369632
102,-0.000130516,-0.0151058
103,-0.0918804,-0.0369498
